rank_cleanup,version,filename,file_type,packagetype,size_bytes,size_mb,platform_family,platform_tag,python_tag,abi_tag,yanked,upload_time_iso_8601,downloads_all_30d,downloads_pip_30d,downloads_uv_30d,downloads_other_30d,downloads_excluded_browser_30d,downloads_excluded_unknown_30d,downloads_top_installer,downloads_top_installer_30d,downloads_installer_nexus_30d,downloads_installer_bandersnatch_30d,downloads_installer_devpi_30d,downloads_installer_pip_30d,downloads_installer_poetry_30d,downloads_installer_requests_30d,downloads_installer_uv_30d
1,0.12.0,tzfpy-0.12.0-cp37-cp37m-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl,whl,bdist_wheel,12552651,11.971,macos,macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2,cp37,cp37m,false,2023-01-19T14:43:25.844257Z,2,0,0,2,7,3,Nexus,1,1,1,0,0,0,0,0
2,0.8.1,tzfpy-0.8.1-cp39-cp39-macosx_11_0_x86_64.whl,whl,bdist_wheel,6224218,5.936,macos,macosx_11_0_x86_64,cp39,cp39,false,2022-08-19T16:37:02.421518Z,3,0,0,3,7,2,bandersnatch,2,1,2,0,0,0,0,0
3,0.8.1,tzfpy-0.8.1-pp37-pypy37_pp73-macosx_11_0_x86_64.whl,whl,bdist_wheel,6224224,5.936,macos,macosx_11_0_x86_64,pp37,pypy37_pp73,false,2022-08-19T16:37:05.715950Z,3,0,0,3,8,1,bandersnatch,2,1,2,0,0,0,0,0
4,0.8.1,tzfpy-0.8.1-pp39-pypy39_pp73-macosx_11_0_x86_64.whl,whl,bdist_wheel,6224222,5.936,macos,macosx_11_0_x86_64,pp39,pypy39_pp73,false,2022-08-19T16:37:12.874427Z,3,0,0,3,8,1,bandersnatch,2,1,2,0,0,0,0,0
5,0.8.2,tzfpy-0.8.2-cp310-cp310-macosx_11_0_x86_64.whl,whl,bdist_wheel,6305524,6.013,macos,macosx_11_0_x86_64,cp310,cp310,false,2022-10-09T16:13:04.967855Z,3,0,0,3,13,2,bandersnatch,2,1,2,0,0,0,0,0
6,0.8.2,tzfpy-0.8.2-pp38-pypy38_pp73-macosx_11_0_x86_64.whl,whl,bdist_wheel,6305529,6.013,macos,macosx_11_0_x86_64,pp38,pypy38_pp73,false,2022-10-09T16:13:28.954656Z,3,0,0,3,8,1,bandersnatch,2,1,2,0,0,0,0,0
7,0.8.3,tzfpy-0.8.3-cp310-cp310-macosx_11_0_x86_64.whl,whl,bdist_wheel,6357365,6.063,macos,macosx_11_0_x86_64,cp310,cp310,false,2022-10-21T12:54:06.689519Z,3,0,0,3,16,2,bandersnatch,2,1,2,0,0,0,0,0
8,0.8.3,tzfpy-0.8.3-cp311-cp311-macosx_11_0_x86_64.whl,whl,bdist_wheel,6357363,6.063,macos,macosx_11_0_x86_64,cp311,cp311,false,2022-10-21T12:54:10.373772Z,3,0,0,3,11,2,bandersnatch,2,1,2,0,0,0,0,0
9,0.8.3,tzfpy-0.8.3-cp36-cp36m-macosx_11_0_x86_64.whl,whl,bdist_wheel,6357379,6.063,macos,macosx_11_0_x86_64,cp36,cp36m,false,2022-10-21T12:54:13.158484Z,3,0,0,3,9,2,bandersnatch,2,1,2,0,0,0,0,0
10,0.8.3,tzfpy-0.8.3-cp38-cp38-macosx_11_0_x86_64.whl,whl,bdist_wheel,6357363,6.063,macos,macosx_11_0_x86_64,cp38,cp38,false,2022-10-21T12:54:19.955790Z,3,0,0,3,8,2,bandersnatch,2,1,2,0,0,0,0,0
11,0.8.3,tzfpy-0.8.3-cp39-cp39-macosx_11_0_x86_64.whl,whl,bdist_wheel,6357362,6.063,macos,macosx_11_0_x86_64,cp39,cp39,false,2022-10-21T12:54:22.827208Z,3,0,0,3,8,2,bandersnatch,2,1,2,0,0,0,0,0
12,0.8.3,tzfpy-0.8.3-pp38-pypy38_pp73-macosx_11_0_x86_64.whl,whl,bdist_wheel,6357369,6.063,macos,macosx_11_0_x86_64,pp38,pypy38_pp73,false,2022-10-21T12:54:28.919444Z,3,0,0,3,11,1,bandersnatch,2,1,2,0,0,0,0,0
13,0.8.4,tzfpy-0.8.4-cp39-cp39-macosx_11_0_x86_64.whl,whl,bdist_wheel,6346929,6.053,macos,macosx_11_0_x86_64,cp39,cp39,false,2022-10-29T12:24:06.445236Z,3,0,0,3,12,3,bandersnatch,2,1,2,0,0,0,0,0
14,0.8.4,tzfpy-0.8.4-pp38-pypy38_pp73-macosx_11_0_x86_64.whl,whl,bdist_wheel,6346938,6.053,macos,macosx_11_0_x86_64,pp38,pypy38_pp73,false,2022-10-29T12:24:13.490026Z,3,0,0,3,8,2,bandersnatch,2,1,2,0,0,0,0,0
15,0.8.4rc1,tzfpy-0.8.4rc1-cp311-cp311-macosx_11_0_x86_64.whl,whl,bdist_wheel,6346960,6.053,macos,macosx_11_0_x86_64,cp311,cp311,false,2022-10-29T12:13:50.854651Z,3,0,0,3,9,2,bandersnatch,2,1,2,0,0,0,0,0
16,0.8.4rc1,tzfpy-0.8.4rc1-pp38-pypy38_pp73-macosx_11_0_x86_64.whl,whl,bdist_wheel,6346969,6.053,macos,macosx_11_0_x86_64,pp38,pypy38_pp73,false,2022-10-29T12:14:12.753286Z,3,0,0,3,8,1,bandersnatch,2,1,2,0,0,0,0,0
17,0.8.5,tzfpy-0.8.5-cp36-cp36m-macosx_11_0_x86_64.whl,whl,bdist_wheel,6346948,6.053,macos,macosx_11_0_x86_64,cp36,cp36m,false,2022-10-30T08:18:20.986708Z,3,0,0,3,8,2,bandersnatch,2,1,2,0,0,0,0,0
18,0.8.5,tzfpy-0.8.5-cp37-cp37m-macosx_11_0_x86_64.whl,whl,bdist_wheel,6346930,6.053,macos,macosx_11_0_x86_64,cp37,cp37m,false,2022-10-30T08:18:24.154733Z,3,0,0,3,9,2,bandersnatch,2,1,2,0,0,0,0,0
19,0.8.5,tzfpy-0.8.5-cp38-cp38-macosx_11_0_x86_64.whl,whl,bdist_wheel,6346929,6.053,macos,macosx_11_0_x86_64,cp38,cp38,false,2022-10-30T08:18:27.378597Z,3,0,0,3,8,2,bandersnatch,2,1,2,0,0,0,0,0
20,0.8.5,tzfpy-0.8.5-cp39-cp39-macosx_11_0_x86_64.whl,whl,bdist_wheel,6346928,6.053,macos,macosx_11_0_x86_64,cp39,cp39,false,2022-10-30T08:18:30.084969Z,3,0,0,3,8,2,bandersnatch,2,1,2,0,0,0,0,0
21,0.8.5,tzfpy-0.8.5-pp37-pypy37_pp73-macosx_11_0_x86_64.whl,whl,bdist_wheel,6346936,6.053,macos,macosx_11_0_x86_64,pp37,pypy37_pp73,false,2022-10-30T08:18:34.349605Z,3,0,0,3,9,1,bandersnatch,2,1,2,0,0,0,0,0
22,0.8.6,tzfpy-0.8.6-cp310-cp310-macosx_11_0_x86_64.whl,whl,bdist_wheel,6357666,6.063,macos,macosx_11_0_x86_64,cp310,cp310,false,2022-11-04T14:23:02.086156Z,3,0,0,3,12,3,bandersnatch,2,1,2,0,0,0,0,0
23,0.8.6,tzfpy-0.8.6-cp36-cp36m-macosx_11_0_x86_64.whl,whl,bdist_wheel,6357683,6.063,macos,macosx_11_0_x86_64,cp36,cp36m,false,2022-11-04T14:23:11.458167Z,3,0,0,3,10,3,bandersnatch,2,1,2,0,0,0,0,0
24,0.8.6,tzfpy-0.8.6-cp37-cp37m-macosx_11_0_x86_64.whl,whl,bdist_wheel,6357666,6.063,macos,macosx_11_0_x86_64,cp37,cp37m,false,2022-11-04T14:23:15.653317Z,3,0,0,3,12,3,bandersnatch,2,1,2,0,0,0,0,0
25,0.8.6,tzfpy-0.8.6-cp38-cp38-macosx_11_0_x86_64.whl,whl,bdist_wheel,6357665,6.063,macos,macosx_11_0_x86_64,cp38,cp38,false,2022-11-04T14:23:20.406293Z,3,0,0,3,9,3,bandersnatch,2,1,2,0,0,0,0,0
26,0.8.6,tzfpy-0.8.6-pp37-pypy37_pp73-macosx_11_0_x86_64.whl,whl,bdist_wheel,6357670,6.063,macos,macosx_11_0_x86_64,pp37,pypy37_pp73,false,2022-11-04T14:23:29.033607Z,3,0,0,3,9,2,bandersnatch,2,1,2,0,0,0,0,0
27,0.8.6,tzfpy-0.8.6-pp38-pypy38_pp73-macosx_11_0_x86_64.whl,whl,bdist_wheel,6357673,6.063,macos,macosx_11_0_x86_64,pp38,pypy38_pp73,false,2022-11-04T14:23:32.880346Z,3,0,0,3,10,2,bandersnatch,2,1,2,0,0,0,0,0
28,0.8.6,tzfpy-0.8.6-pp39-pypy39_pp73-macosx_11_0_x86_64.whl,whl,bdist_wheel,6357673,6.063,macos,macosx_11_0_x86_64,pp39,pypy39_pp73,false,2022-11-04T14:23:37.205139Z,3,0,0,3,10,2,bandersnatch,2,1,2,0,0,0,0,0
29,0.8.7rc1,tzfpy-0.8.7rc1-pp38-pypy38_pp73-macosx_11_0_x86_64.whl,whl,bdist_wheel,6695107,6.385,macos,macosx_11_0_x86_64,pp38,pypy38_pp73,false,2022-11-06T12:55:55.657560Z,3,0,0,3,10,2,bandersnatch,2,1,2,0,0,0,0,0
30,0.8.7rc1,tzfpy-0.8.7rc1-pp39-pypy39_pp73-macosx_11_0_x86_64.whl,whl,bdist_wheel,6695109,6.385,macos,macosx_11_0_x86_64,pp39,pypy39_pp73,false,2022-11-06T12:55:59.589432Z,3,0,0,3,5,2,bandersnatch,2,1,2,0,0,0,0,0
31,0.9.0,tzfpy-0.9.0-cp39-cp39-macosx_11_0_x86_64.whl,whl,bdist_wheel,6695071,6.385,macos,macosx_11_0_x86_64,cp39,cp39,false,2022-11-06T13:05:49.954335Z,3,0,0,3,9,3,bandersnatch,2,1,2,0,0,0,0,0
32,0.9.0,tzfpy-0.9.0-pp37-pypy37_pp73-macosx_11_0_x86_64.whl,whl,bdist_wheel,6695077,6.385,macos,macosx_11_0_x86_64,pp37,pypy37_pp73,false,2022-11-06T13:05:53.821818Z,3,0,0,3,8,2,bandersnatch,2,1,2,0,0,0,0,0
33,0.9.1,tzfpy-0.9.1-cp310-cp310-macosx_11_0_x86_64.whl,whl,bdist_wheel,6695002,6.385,macos,macosx_11_0_x86_64,cp310,cp310,false,2022-11-07T16:09:38.818776Z,3,0,0,3,13,3,bandersnatch,2,1,2,0,0,0,0,0
