version,rank_cleanup,filename,size_bytes,size_mb,downloads_all_30d,downloads_installer_nexus_30d,downloads_installer_bandersnatch_30d,downloads_installer_devpi_30d,downloads_installer_browser_30d,downloads_installer_unknown_30d,downloads_installer_pip_30d,downloads_installer_uv_30d,downloads_installer_poetry_30d,downloads_installer_requests_30d
0.6.0,51,tzfpy-0.6.0-cp310-cp310-macosx_11_0_x86_64.whl,37808321,36.057,4,1,3,0,,,0,0,0,0
0.6.0,52,tzfpy-0.6.0-cp36-cp36m-macosx_11_0_x86_64.whl,37808335,36.057,4,1,3,0,,,0,0,0,0
0.6.0,53,tzfpy-0.6.0-cp37-cp37m-macosx_11_0_x86_64.whl,37808320,36.057,4,1,3,0,,,0,0,0,0
0.6.0,54,tzfpy-0.6.0-cp38-cp38-macosx_11_0_x86_64.whl,37808317,36.057,4,1,3,0,,,0,0,0,0
0.6.0,55,tzfpy-0.6.0-cp39-cp39-macosx_11_0_x86_64.whl,37808318,36.057,4,1,3,0,,,0,0,0,0
0.6.0,56,tzfpy-0.6.0-pp37-pypy37_pp73-macosx_11_0_x86_64.whl,37808327,36.057,4,1,3,0,,,0,0,0,0
0.6.0,57,tzfpy-0.6.0-pp38-pypy38_pp73-macosx_11_0_x86_64.whl,37808326,36.057,4,1,3,0,,,0,0,0,0
0.6.0,58,tzfpy-0.6.0-pp39-pypy39_pp73-macosx_11_0_x86_64.whl,37808326,36.057,4,1,3,0,,,0,0,0,0
0.6.0,325,tzfpy-0.6.0-cp36-cp36m-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl,37497754,35.761,8,1,7,0,,,0,0,0,0
0.6.0,326,tzfpy-0.6.0-cp37-cp37m-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl,37497737,35.761,8,1,7,0,,,0,0,0,0
0.6.0,327,tzfpy-0.6.0-pp37-pypy37_pp73-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl,37497742,35.761,8,1,7,0,,,0,0,0,0
