version,file_count,total_file_count,whole_version_delete,delete_reason,version_effective_downloads_30d,total_size_bytes,total_size_mb
0.6.0,16,16,true,version_effective_downloads_lt_10,1,602448520,574.544
0.6.2,16,16,true,version_effective_downloads_lt_10,1,135989311,129.688
0.7.0,16,16,true,version_effective_downloads_lt_10,1,134391471,128.168
0.8.1,16,16,true,version_effective_downloads_lt_10,1,97120246,92.624
0.8.2,17,18,false,partial_file_cleanup,97,104627380,99.773
0.8.3,18,18,true,version_effective_downloads_lt_10,1,111523687,106.362
0.8.4,18,18,true,version_effective_downloads_lt_10,1,111342083,106.182
0.8.4rc1,18,18,true,version_effective_downloads_lt_10,1,111342696,106.182
0.8.5,18,18,true,version_effective_downloads_lt_10,1,111342088,106.182
0.8.6,18,18,true,version_effective_downloads_lt_10,1,111527314,106.362
0.8.7rc1,18,18,true,version_effective_downloads_lt_10,1,117593358,112.149
0.9.0,18,18,true,version_effective_downloads_lt_10,1,117592749,112.149
0.9.1,18,18,true,version_effective_downloads_lt_10,1,117591945,112.149
0.9.2,18,18,true,version_effective_downloads_lt_10,2,117641779,112.185
0.10.0,18,18,true,version_effective_downloads_lt_10,1,118224389,112.743
0.10.1,18,18,true,version_effective_downloads_lt_10,4,118140758,112.662
0.11.0,13,13,true,version_effective_downloads_lt_10,1,118602251,113.108
0.11.1,13,13,true,version_effective_downloads_lt_10,2,118667428,113.169
0.11.2,13,13,true,version_effective_downloads_lt_10,1,118935388,113.423
0.12.0,19,19,true,version_effective_downloads_lt_10,1,155889711,148.667
0.12.1,14,14,true,version_effective_downloads_lt_10,1,93127084,88.812
0.12.2,22,22,true,version_effective_downloads_lt_10,1,149558050,142.630
0.12.3,37,37,true,version_effective_downloads_lt_10,1,256797410,244.900
0.13.0,37,37,true,version_effective_downloads_lt_10,1,256803667,244.910
0.13.1,40,41,false,partial_file_cleanup,23,306290998,292.104
0.14.0,45,45,true,version_effective_downloads_lt_10,1,342293234,326.432
0.15.0,44,45,false,partial_file_cleanup,86,336005284,320.436
0.15.1,48,51,false,partial_file_cleanup,21431,366207042,349.245
0.15.2,47,50,false,partial_file_cleanup,336,343124819,327.230
0.15.3,49,52,false,partial_file_cleanup,201,358980207,342.353
0.15.4,35,36,false,partial_file_cleanup,35,266100453,253.773
0.15.5,28,36,false,partial_file_cleanup,1740045,216334766,206.312
0.15.6,5,8,false,partial_file_cleanup,3824,31716951,30.248
0.16.0,6,8,false,partial_file_cleanup,17120,38241258,36.469
0.16.1,13,13,true,version_effective_downloads_lt_10,5,88841606,84.728
0.16.2,10,12,false,partial_file_cleanup,627,69997462,66.756
0.16.3,11,12,false,partial_file_cleanup,436,76382253,72.844
0.16.4,8,12,false,partial_file_cleanup,15570,51144297,48.775
1.0.0,8,13,false,partial_file_cleanup,9401,50748296,48.398
1.0.1,19,21,false,partial_file_cleanup,2166,114631725,109.319
1.1.0,15,21,false,partial_file_cleanup,13697,90450744,86.261
1.1.1,13,21,false,partial_file_cleanup,120859,91089022,86.870
1.1.2,6,21,false,partial_file_cleanup,2555,42473723,40.506
1.1.3,13,21,false,partial_file_cleanup,7073,91203745,86.978
