version,filename,downloads_30d
0.15.5,tzfpy-0.15.5-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,1503450
0.15.5,tzfpy-0.15.5-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1500912
0.15.5,tzfpy-0.15.5-cp310-cp310-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,237366
0.15.5,tzfpy-0.15.5-cp310-cp310-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,237366
1.1.1,tzfpy-1.1.1-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,94085
1.1.1,tzfpy-1.1.1-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,33380
0.15.1,tzfpy-0.15.1-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,20136
0.16.0,tzfpy-0.16.0-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,17054
0.16.4,tzfpy-0.16.4-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,15107
1.1.0,tzfpy-1.1.0-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,13339
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_x86_64.whl,10422
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_x86_64.whl.metadata,10337
1.1.0,tzfpy-1.1.0-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,8790
1.1.1,tzfpy-1.1.1-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,8157
0.16.4,tzfpy-0.16.4-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,7921
1.1.1,tzfpy-1.1.1-cp310-abi3-macosx_10_12_x86_64.whl.metadata,7868
1.0.0,tzfpy-1.0.0-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,6150
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_aarch64.whl,5455
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_aarch64.whl.metadata,5385
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,5294
