version,filename,downloads_30d
0.15.5,tzfpy-0.15.5-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,1503449
0.15.5,tzfpy-0.15.5-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1500890
0.15.5,tzfpy-0.15.5-cp310-cp310-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,237365
0.15.5,tzfpy-0.15.5-cp310-cp310-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,237345
1.1.1,tzfpy-1.1.1-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,32744
1.1.1,tzfpy-1.1.1-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,32243
0.15.1,tzfpy-0.15.1-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,20118
0.16.0,tzfpy-0.16.0-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,12679
0.16.4,tzfpy-0.16.4-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,8970
1.1.0,tzfpy-1.1.0-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,8108
1.1.0,tzfpy-1.1.0-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,8084
0.16.4,tzfpy-0.16.4-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,7838
0.16.0,tzfpy-0.16.0-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,2982
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,2638
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,2567
0.15.6,tzfpy-0.15.6-cp38-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,2085
1.1.1,tzfpy-1.1.1-cp310-abi3-win_amd64.whl.metadata,1863
1.1.1,tzfpy-1.1.1-cp310-abi3-win_amd64.whl,1852
1.1.2,tzfpy-1.1.2.tar.gz,1217
1.0.0,tzfpy-1.0.0-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1030
1.1.1,tzfpy-1.1.1-cp310-abi3-macosx_11_0_arm64.whl,914
1.1.1,tzfpy-1.1.1-cp310-abi3-macosx_11_0_arm64.whl.metadata,914
1.0.0,tzfpy-1.0.0-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,800
0.15.5,tzfpy-0.15.5-cp312-cp312-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,690
0.15.5,tzfpy-0.15.5-cp312-cp312-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,686
0.15.5,tzfpy-0.15.5-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,634
0.15.5,tzfpy-0.15.5-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,632
0.16.2,tzfpy-0.16.2-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,609
0.15.6,tzfpy-0.15.6-cp38-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,551
0.15.6,tzfpy-0.15.6-cp38-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,550
1.0.1,tzfpy-1.0.1-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,548
1.0.1,tzfpy-1.0.1-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,546
0.15.6,tzfpy-0.15.6-cp38-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,494
1.1.1,tzfpy-1.1.1-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,483
0.16.3,tzfpy-0.16.3-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,471
1.1.1,tzfpy-1.1.1-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,462
0.16.3,tzfpy-0.16.3-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,434
0.16.4,tzfpy-0.16.4-cp39-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,400
1.1.1,tzfpy-1.1.1-cp310-abi3-macosx_10_12_x86_64.whl,320
0.15.5,tzfpy-0.15.5-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,317
1.1.1,tzfpy-1.1.1-cp310-abi3-macosx_10_12_x86_64.whl.metadata,317
1.0.0,tzfpy-1.0.0-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,278
