installer,version,filename,downloads_30d
Browser,1.1.3,tzfpy-1.1.3-cp314-cp314t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,27
Browser,1.1.3,tzfpy-1.1.3-cp310-abi3-win32.whl,26
Browser,1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,25
Browser,1.1.3,tzfpy-1.1.3-cp310-abi3-musllinux_1_2_x86_64.whl,25
Browser,1.1.3,tzfpy-1.1.3-cp310-abi3-win_amd64.whl,25
Browser,1.1.3,tzfpy-1.1.3-cp314-cp314t-macosx_10_12_x86_64.whl,25
Browser,1.1.3,tzfpy-1.1.3-cp310-abi3-macosx_10_12_x86_64.whl,24
Browser,0.15.3,tzfpy-0.15.3-pp310-pypy310_pp73-manylinux_2_24_armv7l.whl,23
Browser,1.1.3,tzfpy-1.1.3-cp310-abi3-musllinux_1_2_armv7l.whl,23
Browser,1.1.3,tzfpy-1.1.3-cp314-cp314t-musllinux_1_2_x86_64.whl,23
Browser,1.1.1,tzfpy-1.1.1-cp310-abi3-win_amd64.whl,22
Browser,1.1.1,tzfpy-1.1.1-cp314-cp314t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,22
Browser,1.1.1,tzfpy-1.1.1-cp314-cp314t-win_amd64.whl,22
Browser,1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,22
Browser,1.1.3,tzfpy-1.1.3-cp314-cp314t-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,22
Browser,1.1.3,tzfpy-1.1.3-cp314-cp314t-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,22
Browser,1.1.3,tzfpy-1.1.3-cp314-cp314t-musllinux_1_2_aarch64.whl,22
Browser,1.1.3,tzfpy-1.1.3-cp314-cp314t-win32.whl,22
Browser,1.1.3,tzfpy-1.1.3-cp314-cp314t-win_amd64.whl,22
Browser,1.1.3,tzfpy-1.1.3.tar.gz,22
