key,release_tag,release_published_at,release_prerelease,asset_id,asset_name,asset_url,asset_updated_at,asset_digest,uploader_login
371576598,v1.1.3-alpha.1,2026-03-11T14:17:45Z,true,371576598,tzfpy-1.1.3a1-cp314-cp314t-win_amd64.whl,https://github.com/ringsaturn/tzfpy/releases/download/v1.1.3-alpha.1/tzfpy-1.1.3a1-cp314-cp314t-win_amd64.whl,2026-03-11T14:17:44Z,sha256:9cd6fafd2abf2c49f20427c8cf5421898990ae9abe06b43060cea7897cf77bb4,github-actions[bot]
371576599,v1.1.3-alpha.1,2026-03-11T14:17:45Z,true,371576599,tzfpy-1.1.3a1-cp314-cp314t-win32.whl,https://github.com/ringsaturn/tzfpy/releases/download/v1.1.3-alpha.1/tzfpy-1.1.3a1-cp314-cp314t-win32.whl,2026-03-11T14:17:44Z,sha256:79cc0e1e16f27603fc68a4f0719a68c5e0f3f213037487929c4206a69272e243,github-actions[bot]
371576592,v1.1.3-alpha.1,2026-03-11T14:17:45Z,true,371576592,tzfpy-1.1.3a1-cp314-cp314t-musllinux_1_2_x86_64.whl,https://github.com/ringsaturn/tzfpy/releases/download/v1.1.3-alpha.1/tzfpy-1.1.3a1-cp314-cp314t-musllinux_1_2_x86_64.whl,2026-03-11T14:17:44Z,sha256:241f03332ce89096bd28267c74d8d8b4dca4a2f9fd8f5360fb41e468abf14569,github-actions[bot]
371576590,v1.1.3-alpha.1,2026-03-11T14:17:45Z,true,371576590,tzfpy-1.1.3a1-cp314-cp314t-musllinux_1_2_armv7l.whl,https://github.com/ringsaturn/tzfpy/releases/download/v1.1.3-alpha.1/tzfpy-1.1.3a1-cp314-cp314t-musllinux_1_2_armv7l.whl,2026-03-11T14:17:44Z,sha256:f1e60228b6b47979bc7330cd236a2cf5fac4c7eed7cc25fb1693e6545a769fe9,github-actions[bot]
371576597,v1.1.3-alpha.1,2026-03-11T14:17:45Z,true,371576597,tzfpy-1.1.3a1-cp314-cp314t-musllinux_1_2_aarch64.whl,https://github.com/ringsaturn/tzfpy/releases/download/v1.1.3-alpha.1/tzfpy-1.1.3a1-cp314-cp314t-musllinux_1_2_aarch64.whl,2026-03-11T14:17:44Z,sha256:aeaf935978e7e2e911747383650b97d08943aa62c97dea32eff1314867b29a0d,github-actions[bot]
371576581,v1.1.3-alpha.1,2026-03-11T14:17:45Z,true,371576581,tzfpy-1.1.3a1-cp314-cp314t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,https://github.com/ringsaturn/tzfpy/releases/download/v1.1.3-alpha.1/tzfpy-1.1.3a1-cp314-cp314t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,2026-03-11T14:17:44Z,sha256:15d19346b09687dafac5023b31b97e5e7e665c134d210ed1c21f39b618668e3d,github-actions[bot]
371576587,v1.1.3-alpha.1,2026-03-11T14:17:45Z,true,371576587,tzfpy-1.1.3a1-cp314-cp314t-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,https://github.com/ringsaturn/tzfpy/releases/download/v1.1.3-alpha.1/tzfpy-1.1.3a1-cp314-cp314t-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,2026-03-11T14:17:44Z,sha256:0c06e430d2159ea1b36975f91c11ad6feba2a3256cd2c556d325d13a8cea0cff,github-actions[bot]
371576580,v1.1.3-alpha.1,2026-03-11T14:17:45Z,true,371576580,tzfpy-1.1.3a1-cp314-cp314t-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,https://github.com/ringsaturn/tzfpy/releases/download/v1.1.3-alpha.1/tzfpy-1.1.3a1-cp314-cp314t-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,2026-03-11T14:17:44Z,sha256:5f9a4061f26b6263a7b42000f25a51cb6022377288f799d645f3f17127374831,github-actions[bot]
371576596,v1.1.3-alpha.1,2026-03-11T14:17:45Z,true,371576596,tzfpy-1.1.3a1-cp314-cp314t-macosx_11_0_arm64.whl,https://github.com/ringsaturn/tzfpy/releases/download/v1.1.3-alpha.1/tzfpy-1.1.3a1-cp314-cp314t-macosx_11_0_arm64.whl,2026-03-11T14:17:44Z,sha256:96e8eb8411af1bb656f0d9ed733970b0fa04d14d5b8442702277feebab0b73be,github-actions[bot]
371576585,v1.1.3-alpha.1,2026-03-11T14:17:45Z,true,371576585,tzfpy-1.1.3a1-cp314-cp314t-macosx_10_12_x86_64.whl,https://github.com/ringsaturn/tzfpy/releases/download/v1.1.3-alpha.1/tzfpy-1.1.3a1-cp314-cp314t-macosx_10_12_x86_64.whl,2026-03-11T14:17:44Z,sha256:2d9510c1db5668465df1d285d7b216f32cbf5b60cd28079bf5fd5548eefbf249,github-actions[bot]
